Date,open,high,low,close,volume,Ticker
11/09/2023 5:30,488.8,488.8,483.15,484.45,3271496,HINDALCO
11/10/2023 5:30,482.05,488.25,479.55,481.3,3498064,HINDALCO
11/12/2023 5:30,485.0,486.0,480.65,482.45,302230,HINDALCO
11/13/2023 5:30,482.0,492.35,481.1,487.5,4918873,HINDALCO
11/15/2023 5:30,497.0,513.5,494.2,505.4,11674265,HINDALCO
11/16/2023 5:30,504.0,507.45,497.15,504.3,4171759,HINDALCO
11/17/2023 5:30,503.05,506.45,496.85,497.75,3595049,HINDALCO
11/20/2023 5:30,500.15,505.95,496.55,497.3,4305637,HINDALCO
11/21/2023 5:30,502.8,510.95,501.9,506.85,7154476,HINDALCO
11/22/2023 5:30,504.9,506.85,498.95,500.25,4337970,HINDALCO
11/23/2023 5:30,499.0,503.0,491.65,501.95,6628259,HINDALCO
11/24/2023 5:30,504.85,512.75,502.55,507.8,5973059,HINDALCO
11/28/2023 5:30,511.75,518.25,509.8,515.6,7804926,HINDALCO
11/29/2023 5:30,519.0,523.35,513.9,517.45,6275280,HINDALCO
11/30/2023 5:30,519.3,519.75,511.35,515.65,7599701,HINDALCO
12/01/2023 5:30,520.05,524.8,515.3,517.2,4933886,HINDALCO
12/04/2023 5:30,524.05,526.65,516.55,519.25,5985489,HINDALCO
12/05/2023 5:30,518.35,528.8,515.45,520.65,6399021,HINDALCO
12/06/2023 5:30,521.0,526.95,515.6,523.0,4831956,HINDALCO
12/07/2023 5:30,521.0,522.4,515.1,516.05,4628885,HINDALCO
12/08/2023 5:30,519.5,525.05,514.0,520.35,3733998,HINDALCO
12/11/2023 5:30,520.3,523.8,517.1,522.4,2597347,HINDALCO
12/12/2023 5:30,525.0,538.5,522.15,527.45,9498031,HINDALCO
12/13/2023 5:30,528.95,535.25,523.3,532.85,4000017,HINDALCO
12/14/2023 5:30,540.0,545.95,537.25,543.1,7190654,HINDALCO
12/15/2023 5:30,556.0,559.05,548.2,557.25,8191005,HINDALCO
12/18/2023 5:30,557.0,567.4,551.5,566.4,5076184,HINDALCO
12/19/2023 5:30,567.95,567.95,555.7,564.85,4484733,HINDALCO
12/20/2023 5:30,569.5,570.9,546.25,548.2,6959868,HINDALCO
12/21/2023 5:30,544.0,561.65,541.65,556.25,4591119,HINDALCO
12/22/2023 5:30,559.4,572.0,559.0,570.45,7865384,HINDALCO
12/26/2023 5:30,574.95,580.85,570.5,579.85,4649730,HINDALCO
12/27/2023 5:30,582.0,607.65,580.3,605.6,12430827,HINDALCO
12/28/2023 5:30,608.0,616.5,605.2,614.3,7139743,HINDALCO
12/29/2023 5:30,614.3,618.0,608.1,614.85,3995822,HINDALCO
01/01/2024 5:30,614.5,620.5,606.95,610.4,2961919,HINDALCO
01/02/2024 5:30,610.4,620.0,607.4,617.0,4975013,HINDALCO
01/03/2024 5:30,608.25,611.4,592.0,593.05,7226455,HINDALCO
01/04/2024 5:30,594.0,595.85,587.65,590.5,6592370,HINDALCO
01/05/2024 5:30,590.6,597.6,581.55,587.0,2990123,HINDALCO
01/08/2024 5:30,587.0,592.5,576.45,577.65,4425767,HINDALCO
01/09/2024 5:30,581.95,584.9,573.6,575.95,5314029,HINDALCO
01/10/2024 5:30,576.0,582.0,570.65,580.05,2408792,HINDALCO
01/11/2024 5:30,582.95,587.0,575.5,576.95,3899383,HINDALCO
01/12/2024 5:30,581.0,585.5,575.75,582.05,2440863,HINDALCO
01/15/2024 5:30,585.85,586.0,572.25,574.65,3778987,HINDALCO
01/16/2024 5:30,575.95,584.85,569.45,579.55,5187155,HINDALCO
01/17/2024 5:30,570.95,572.7,558.1,560.25,6148035,HINDALCO
01/18/2024 5:30,560.25,561.35,547.8,554.9,3784905,HINDALCO
01/19/2024 5:30,556.5,561.0,554.5,557.1,4451789,HINDALCO
01/20/2024 5:30,561.0,566.75,558.35,561.05,1502352,HINDALCO
01/23/2024 5:30,558.0,561.8,537.6,541.4,7867972,HINDALCO
01/24/2024 5:30,550.0,566.8,547.0,565.15,8619429,HINDALCO
01/25/2024 5:30,566.5,570.0,558.4,567.2,5366990,HINDALCO
01/29/2024 5:30,568.0,571.95,562.0,567.9,5126212,HINDALCO
01/30/2024 5:30,569.95,584.3,567.25,569.25,7968815,HINDALCO
01/31/2024 5:30,569.2,580.6,568.25,579.35,5644545,HINDALCO
02/01/2024 5:30,578.0,581.8,570.3,571.25,3509803,HINDALCO
02/02/2024 5:30,577.0,589.0,573.1,583.5,7145858,HINDALCO
02/05/2024 5:30,583.5,590.9,576.05,579.9,4801118,HINDALCO
02/06/2024 5:30,578.6,587.75,569.25,584.9,4099573,HINDALCO
02/07/2024 5:30,590.4,602.15,584.65,592.25,9415146,HINDALCO
02/08/2024 5:30,592.0,608.95,587.85,601.3,11844758,HINDALCO
02/09/2024 5:30,601.0,602.0,576.3,591.3,5105348,HINDALCO
02/12/2024 5:30,591.9,601.8,579.75,582.45,4595403,HINDALCO
02/13/2024 5:30,539.0,540.0,496.35,510.1,46100123,HINDALCO
02/14/2024 5:30,515.0,516.9,503.15,507.8,16634538,HINDALCO
02/15/2024 5:30,512.7,518.5,507.6,513.2,13303658,HINDALCO
02/16/2024 5:30,519.95,519.95,510.95,515.7,12066565,HINDALCO
02/19/2024 5:30,518.75,518.9,511.8,512.3,5580597,HINDALCO
02/20/2024 5:30,512.6,515.9,507.15,511.6,5186970,HINDALCO
02/21/2024 5:30,535.0,538.0,510.0,511.8,18106978,HINDALCO
02/22/2024 5:30,516.3,522.15,514.25,521.15,8727844,HINDALCO
02/23/2024 5:30,524.7,524.8,517.0,518.35,6445580,HINDALCO
02/26/2024 5:30,519.4,519.75,504.0,505.05,7605543,HINDALCO
02/27/2024 5:30,505.5,512.2,504.7,509.65,6741206,HINDALCO
02/28/2024 5:30,512.5,514.45,501.75,504.4,4406098,HINDALCO
02/29/2024 5:30,506.5,508.0,499.0,503.85,16860796,HINDALCO
03/01/2024 5:30,510.0,522.5,510.0,519.1,9882296,HINDALCO
03/02/2024 5:30,523.0,524.0,518.0,522.85,623929,HINDALCO
03/04/2024 5:30,524.0,529.85,520.05,524.95,5989974,HINDALCO
03/05/2024 5:30,524.0,528.3,520.2,522.1,5729926,HINDALCO
03/06/2024 5:30,522.05,527.9,513.95,526.95,4637732,HINDALCO
03/07/2024 5:30,530.8,540.85,529.25,536.7,7909060,HINDALCO
03/11/2024 5:30,540.0,543.25,532.1,533.7,5527908,HINDALCO
03/12/2024 5:30,533.1,536.85,525.3,528.95,3703670,HINDALCO
03/13/2024 5:30,529.35,530.0,501.2,507.0,5712435,HINDALCO
03/14/2024 5:30,512.0,526.35,507.0,525.25,10349338,HINDALCO
03/15/2024 5:30,522.0,534.05,517.5,532.55,8467660,HINDALCO
03/18/2024 5:30,532.0,535.55,527.0,531.15,4282437,HINDALCO
03/19/2024 5:30,532.0,539.75,529.25,533.65,7119131,HINDALCO
03/20/2024 5:30,533.0,535.5,516.35,527.85,5005234,HINDALCO
03/21/2024 5:30,538.4,545.75,534.25,539.7,8795679,HINDALCO
03/22/2024 5:30,539.7,550.65,537.35,547.75,5518261,HINDALCO
03/26/2024 5:30,545.65,561.0,545.0,558.65,7198061,HINDALCO
03/27/2024 5:30,564.2,564.65,556.8,557.65,5320703,HINDALCO
03/28/2024 5:30,561.0,566.65,555.3,560.25,8326754,HINDALCO
04/01/2024 5:30,570.0,574.0,564.1,568.6,6192790,HINDALCO
04/02/2024 5:30,571.0,572.3,561.55,571.2,4626877,HINDALCO
04/03/2024 5:30,570.2,584.1,567.15,576.6,7514291,HINDALCO
04/04/2024 5:30,590.0,590.0,568.95,577.75,7246259,HINDALCO
04/05/2024 5:30,572.5,575.0,567.6,570.05,4884617,HINDALCO
04/08/2024 5:30,572.0,579.7,570.5,576.8,3276169,HINDALCO
04/09/2024 5:30,578.1,595.45,574.0,588.6,7829711,HINDALCO
04/10/2024 5:30,596.2,604.9,591.05,603.05,11748104,HINDALCO
04/12/2024 5:30,609.05,609.05,595.3,598.65,15994496,HINDALCO
04/15/2024 5:30,615.0,625.4,605.7,612.7,27067692,HINDALCO
04/16/2024 5:30,612.7,621.4,606.8,608.85,10722248,HINDALCO
04/18/2024 5:30,616.4,625.0,609.8,612.8,9953539,HINDALCO
04/19/2024 5:30,609.0,616.3,600.7,614.75,6443897,HINDALCO
04/22/2024 5:30,620.65,622.45,612.7,618.55,6503652,HINDALCO
04/23/2024 5:30,618.5,618.75,610.4,611.8,6154126,HINDALCO
04/24/2024 5:30,611.8,637.65,608.7,636.1,11775700,HINDALCO
04/25/2024 5:30,635.7,648.25,628.1,646.8,11897458,HINDALCO
04/26/2024 5:30,650.95,661.6,643.0,649.3,7545608,HINDALCO
04/29/2024 5:30,654.95,655.4,641.2,650.05,4157501,HINDALCO
04/30/2024 5:30,653.6,653.7,642.3,644.4,4771959,HINDALCO
05/02/2024 5:30,635.9,646.9,628.65,641.45,17929526,HINDALCO
05/03/2024 5:30,655.05,655.05,638.4,647.1,10633995,HINDALCO
05/06/2024 5:30,650.0,655.0,629.3,638.8,10094421,HINDALCO
05/07/2024 5:30,646.9,646.9,611.75,620.2,10787196,HINDALCO
05/08/2024 5:30,615.1,634.45,615.1,633.5,7683352,HINDALCO
05/09/2024 5:30,634.0,637.75,615.0,619.4,6588118,HINDALCO
05/10/2024 5:30,620.1,629.55,618.0,625.6,4364788,HINDALCO
05/13/2024 5:30,625.1,636.15,614.3,633.5,3582386,HINDALCO
05/14/2024 5:30,644.35,649.5,638.2,646.65,8339846,HINDALCO
05/15/2024 5:30,653.0,659.0,648.7,653.7,6764257,HINDALCO
05/16/2024 5:30,660.0,666.0,643.25,653.35,8781056,HINDALCO
05/17/2024 5:30,653.0,658.8,650.4,655.45,5026205,HINDALCO
05/18/2024 5:30,662.0,662.9,657.5,660.35,467849,HINDALCO
05/21/2024 5:30,666.3,695.4,663.2,693.6,15976672,HINDALCO
05/22/2024 5:30,698.55,698.7,677.4,684.55,8004434,HINDALCO
05/23/2024 5:30,675.15,678.55,665.95,676.8,9749101,HINDALCO
05/24/2024 5:30,679.25,690.45,671.05,673.25,15930052,HINDALCO
05/27/2024 5:30,685.05,689.5,675.5,677.85,10475785,HINDALCO
05/28/2024 5:30,682.0,698.0,678.35,681.3,12925385,HINDALCO
05/29/2024 5:30,695.0,713.5,682.3,705.3,22684652,HINDALCO
05/30/2024 5:30,704.85,713.05,693.35,695.15,10361716,HINDALCO
05/31/2024 5:30,698.9,703.45,684.35,689.35,13620282,HINDALCO
06/03/2024 5:30,715.0,715.25,692.8,695.95,7081956,HINDALCO
06/04/2024 5:30,697.0,697.0,594.25,649.05,24250212,HINDALCO
06/05/2024 5:30,627.0,700.65,607.0,695.25,25836374,HINDALCO
06/06/2024 5:30,695.0,695.0,673.0,677.5,10420244,HINDALCO
06/07/2024 5:30,677.5,687.0,672.45,680.35,7172942,HINDALCO
06/10/2024 5:30,677.05,684.85,673.05,676.4,4054802,HINDALCO
06/11/2024 5:30,680.0,681.25,672.05,672.95,5157918,HINDALCO
06/12/2024 5:30,674.0,683.0,671.85,673.9,10783822,HINDALCO
06/13/2024 5:30,678.0,684.65,676.05,680.7,9555904,HINDALCO
06/14/2024 5:30,690.0,690.0,677.4,683.6,8326865,HINDALCO
06/18/2024 5:30,683.6,688.0,677.0,678.75,4013739,HINDALCO
06/19/2024 5:30,680.05,682.0,660.4,662.4,4770356,HINDALCO
06/20/2024 5:30,665.0,684.35,661.75,676.5,6646966,HINDALCO
06/21/2024 5:30,680.0,691.2,677.0,684.5,11973903,HINDALCO
06/24/2024 5:30,679.6,687.7,675.1,685.25,8014595,HINDALCO
06/25/2024 5:30,688.8,696.0,680.9,685.5,5778636,HINDALCO
06/26/2024 5:30,683.55,683.55,671.35,674.7,6069407,HINDALCO
06/27/2024 5:30,678.0,687.7,672.1,685.25,7135387,HINDALCO
06/28/2024 5:30,690.25,697.5,686.0,693.55,6101211,HINDALCO
07/01/2024 5:30,699.0,701.85,688.4,689.85,4870114,HINDALCO
07/02/2024 5:30,689.9,703.3,688.4,694.75,5482768,HINDALCO
07/03/2024 5:30,698.9,703.0,683.4,691.65,5875690,HINDALCO
07/04/2024 5:30,697.7,705.75,690.55,691.85,5924057,HINDALCO
07/05/2024 5:30,694.0,702.5,693.5,699.15,5174673,HINDALCO
07/08/2024 5:30,703.65,705.9,691.65,697.2,2636146,HINDALCO
07/09/2024 5:30,702.0,710.65,695.55,707.0,5507357,HINDALCO
07/10/2024 5:30,708.0,712.1,685.3,693.3,5327276,HINDALCO
